"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"J2","ZX62-B-5PA(11)","2130.343mil","4827mil","2183mil","4827mil","2183mil","4775.819mil","T","90.00","ZX62-B-5PA(11)"
"C23","CAP_CERAMIC_0402","2906mil","4679mil","2906mil","4679mil","2926mil","4679mil","T","180.00","0.1uF"
"J4","4-103240-0-04","2875mil","5090mil","2725mil","5040mil","2725mil","5040mil","T","360.00","4-103240-0-04"
"Y1","CSTCE","2295.002mil","4715mil","2295mil","4715mil","2295mil","4667.756mil","T","90.00","CSTCE8M00G55-R0"
"J1","USB_HEADER","2163mil","4332mil","2163mil","4332mil","2263mil","4258.181mil","T","270.00","USB_HEADER"
"J3","GRPB052VWQP-RC","2405mil","5070mil","2405mil","5070mil","2305mil","4986.339mil","T","90.00","GRPB052VWQP-RC"
"U4","LPCC-16","3038mil","4669mil","3038mil","4669mil","2987.803mil","4698.528mil","T","0.00","HMC5983"
"U3","QFN-24","3041mil","4386mil","3041mil","4386mil","3090.213mil","4464.74mil","T","270.00","MPU-6000"
"U2","LLP-6","2545mil","4180mil","2545mil","4180mil","2590.276mil","4154.41mil","T","180.00","LP5900SD-3.3"
"U1","LQFP48","2552mil","4630mil","2552mil","4630mil","2384.677mil","4738.268mil","T","0.00","STM32F103C8T6"
"R9","RESISTOR_0402","2797mil","4596mil","2797mil","4596mil","2777mil","4596mil","T","0.00","22 ohm"
"R8","RESISTOR_0402","2797mil","4561mil","2797mil","4561mil","2777mil","4561mil","T","0.00","22 ohm"
"R7","RESISTOR_0402","2797mil","4526mil","2797mil","4526mil","2777mil","4526mil","T","0.00","22 ohm"
"R6","RESISTOR_0402","2542mil","4855mil","2542mil","4855mil","2562mil","4855mil","T","180.00","10K"
"R5","RESISTOR_0402","2538mil","4385mil","2538mil","4385mil","2538mil","4405mil","T","270.00","22 ohm"
"R4","RESISTOR_0402","2503mil","4385mil","2503mil","4385mil","2503mil","4405mil","T","270.00","22 ohm"
"R3","RESISTOR_0402","2468mil","4385mil","2468mil","4385mil","2468mil","4405mil","T","270.00","22 ohm"
"R2","RESISTOR_0402","2373mil","4385mil","2373mil","4385mil","2373mil","4365mil","T","90.00","22 ohm"
"R1","RESISTOR_0402","2409mil","4385mil","2409mil","4385mil","2409mil","4365mil","T","90.00","22 ohm"
"L4","INDUCTOR_0402","2950mil","4850mil","2950mil","4850mil","2970mil","4850mil","T","180.00","MMZ1005S601C"
"L3","INDUCTOR_0402","2950mil","4150mil","2950mil","4150mil","2970mil","4150mil","T","180.00","MMZ1005S601C"
"L2","INDUCTOR_0402","2391mil","4304mil","2391mil","4304mil","2371mil","4304mil","T","360.00","MMZ1005S601C"
"L1","INDUCTOR_0402","2391mil","4264mil","2391mil","4264mil","2371mil","4264mil","T","360.00","MMZ1005S601C"
"C22","CAP_CERAMIC_0603","3153mil","4699mil","3153mil","4699mil","3153mil","4674mil","T","90.00","4.7uF"
"C21","CAP_CERAMIC_0402","2310mil","4621mil","2310mil","4621mil","2330mil","4621mil","T","180.00","0.1uF"
"C20","CAP_CERAMIC_0603","2850mil","4820mil","2850mil","4820mil","2850mil","4845mil","T","270.00","10uF"
"C19","CAP_CERAMIC_0402","2895mil","4830mil","2895mil","4830mil","2895mil","4850mil","T","270.00","0.1uF"
"C18","CAP_CERAMIC_0402","3005mil","4830mil","3005mil","4830mil","3005mil","4850mil","T","270.00","2200pF"
"C17","CAP_CERAMIC_0402","3152mil","4619mil","3152mil","4619mil","3132mil","4619mil","T","360.00","0.22uF"
"C16","CAP_CERAMIC_0402","2310mil","4537mil","2310mil","4537mil","2330mil","4537mil","T","180.00","0.1uF"
"C15","CAP_CERAMIC_0402","2310mil","4576mil","2310mil","4576mil","2330mil","4576mil","T","180.00","1uF"
"C14","CAP_CERAMIC_0402","2911mil","4366mil","2911mil","4366mil","2911mil","4386mil","T","270.00","0.1uF"
"C13","CAP_CERAMIC_0402","2780mil","4730mil","2780mil","4730mil","2780mil","4750mil","T","270.00","0.1uF"
"C12","CAP_CERAMIC_0402","2650mil","4405mil","2650mil","4405mil","2670mil","4405mil","T","180.00","0.1uF"
"C11","CAP_CERAMIC_0402","2454mil","4855mil","2454mil","4855mil","2434mil","4855mil","T","360.00","0.1uF"
"C10","CAP_CERAMIC_0603","2358mil","4855mil","2358mil","4855mil","2383mil","4855mil","T","180.00","10uF"
"C9","CAP_CERAMIC_0603","2850mil","4180mil","2850mil","4180mil","2850mil","4155mil","T","90.00","10uF"
"C8","CAP_CERAMIC_0402","2895mil","4170mil","2895mil","4170mil","2895mil","4150mil","T","90.00","0.1uF"
"C7","CAP_CERAMIC_0402","3005mil","4170mil","3005mil","4170mil","3005mil","4150mil","T","90.00","2200pF"
"C6","CAP_CERAMIC_0402","3171mil","4337mil","3171mil","4337mil","3171mil","4357mil","T","270.00","2200pF"
"C5","CAP_CERAMIC_0402","2705mil","4170mil","2705mil","4170mil","2705mil","4150mil","T","90.00","0.1uF"
"C4","CAP_CERAMIC_0603","2655mil","4180mil","2655mil","4180mil","2655mil","4155mil","T","90.00","10uF"
"C3","CAP_CERAMIC_0603","2440mil","4180mil","2440mil","4180mil","2440mil","4155mil","T","90.00","10uF"
"C2","CAP_CERAMIC_0402","2492mil","4263mil","2492mil","4263mil","2472mil","4263mil","T","360.00","2200pF"
"C1","CAP_CERAMIC_0402","2332mil","4284mil","2332mil","4284mil","2332mil","4264mil","T","90.00","2200pF"
"R10","RESISTOR_0402","2337mil","4385mil","2337mil","4385mil","2337mil","4365mil","T","90.00","1.5K"

